iter	RMSE
0	58245.04642
1	56263.1561
2	54414.77489
3	52737.85384
4	51212.68674
5	49779.9076
6	48464.09284
7	47215.16757
8	46112.55216
9	45115.50803
10	44186.795
11	43352.92442
12	42577.10807
13	41877.54693
14	41215.60646
15	40642.76537
16	40092.47824
17	39601.25987
18	39156.24798
19	38759.75102
20	38376.75492
21	38023.51689
22	37707.29172
23	37409.88277
24	37138.44679
25	36893.02904
26	36648.60197
27	36449.33363
28	36274.54059
29	36108.76683
30	35949.77268
31	35804.793
32	35678.95476
33	35540.77129
34	35420.53634
35	35315.76744
36	35205.31433
37	35080.6279
38	34996.63385
39	34909.84483
40	34825.14512
41	34749.84465
42	34685.47962
43	34621.24752
44	34547.74428
45	34472.0923
46	34415.52917
47	34358.19296
48	34308.01879
49	34264.35717
50	34209.69021
51	34155.66439
52	34120.07697
53	34083.15395
54	34038.0795
55	33996.13211
56	33960.91685
57	33925.44264
58	33889.47633
59	33851.84958
60	33826.04803
61	33791.96005
62	33755.35764
63	33723.03058
64	33689.0978
65	33667.48878
66	33630.78219
67	33597.05749
68	33565.86476
69	33542.80668
70	33505.88089
71	33478.71714
72	33447.14525
73	33417.97614
74	33398.82655
75	33375.67844
76	33349.0286
77	33325.66897
78	33301.4467
79	33274.84174
80	33254.78503
81	33236.46532
82	33216.69377
83	33199.45407
84	33172.76287
85	33151.85118
86	33123.64836
87	33092.6281
88	33072.17458
89	33046.82627
90	33031.33578
91	33009.21569
92	32990.20366
93	32958.52286
94	32936.45714
95	32918.32882
96	32900.64968
97	32879.03005
98	32850.86973
99	32831.40543
100	32813.67556
101	32789.45766
102	32773.5726
103	32755.87441
104	32725.24481
105	32712.57731
106	32693.79425
107	32669.85818
108	32654.82389
109	32636.41221
110	32618.56334
111	32598.26973
112	32582.48777
113	32563.74369
114	32551.29896
115	32533.17208
116	32512.84396
117	32495.13785
118	32477.84971
119	32463.0301
120	32445.26713
121	32435.80391
122	32419.08299
123	32401.23094
124	32378.02488
125	32361.53719
126	32344.66184
127	32322.94454
128	32309.91054
129	32294.54942
130	32284.97323
131	32265.68261
132	32253.44254
133	32242.34371
134	32220.85666
135	32202.78774
136	32178.96824
137	32162.29339
138	32144.49567
139	32132.19205
140	32114.16335
141	32098.44422
142	32088.17635
143	32070.04106
144	32049.46329
145	32031.92542
146	32017.91349
147	31999.49488
148	31985.21541
149	31974.3486
150	31957.23696
151	31940.00607
152	31928.58179
153	31915.78793
154	31906.90717
155	31883.9882
156	31871.18964
157	31849.27957
158	31830.064
159	31808.6797
160	31788.00184
161	31770.78416
162	31757.68206
163	31741.45707
164	31732.64534
165	31717.88844
166	31708.27676
167	31696.71709
168	31686.28065
169	31676.54432
170	31655.56747
171	31633.68398
172	31622.22246
173	31613.74497
174	31600.9129
175	31586.86367
176	31575.8982
177	31559.61424
178	31541.34189
179	31522.19615
180	31500.61671
181	31486.62549
182	31480.97663
183	31475.28782
184	31461.51627
185	31454.55025
186	31437.06089
187	31416.22261
188	31395.32392
189	31383.9719
190	31364.90456
191	31349.97177
192	31333.92309
193	31320.53366
194	31302.38359
195	31284.20402
196	31273.68083
197	31254.45065
198	31237.24157
199	31220.54496
200	31199.84031
201	31181.87653
202	31173.06476
203	31153.4059
204	31136.41513
205	31118.60136
206	31103.4956
207	31085.70159
208	31072.7425
209	31060.88752
210	31046.72264
211	31031.20529
212	31006.6874
213	30995.69189
214	30982.31694
215	30976.87996
216	30965.47714
217	30954.94779
218	30933.84134
219	30919.55435
220	30901.51676
221	30885.88222
222	30874.46639
223	30860.04914
224	30844.28395
225	30832.69051
226	30807.9506
227	30800.4959
228	30785.78753
229	30771.73175
