iter	Passed	Remaining
0	13	4865
1	27	4722
2	39	4535
3	49	4296
4	60	4148
5	70	4042
6	81	3978
7	91	3918
8	102	3885
9	113	3843
10	123	3808
11	134	3774
12	144	3746
13	154	3715
14	169	3784
15	182	3816
16	202	3963
17	212	3927
18	224	3908
19	235	3877
20	244	3837
21	260	3881
22	278	3958
23	293	3980
24	305	3968
25	315	3928
26	325	3896
27	335	3854
28	345	3819
29	354	3784
30	364	3747
31	373	3715
32	383	3686
33	393	3659
34	403	3633
35	414	3612
36	424	3587
37	434	3563
38	444	3545
39	454	3522
40	464	3503
41	474	3480
42	484	3460
43	494	3442
44	505	3425
45	515	3406
46	525	3390
47	536	3374
48	546	3355
49	556	3340
50	567	3327
51	578	3315
52	589	3303
53	599	3288
54	611	3277
55	623	3271
56	634	3260
57	644	3246
58	658	3247
59	679	3284
60	700	3316
61	720	3348
62	742	3382
63	764	3418
64	786	3449
65	807	3474
66	829	3502
67	851	3532
68	875	3566
69	898	3594
70	921	3622
71	944	3647
72	968	3675
73	992	3702
74	1017	3730
75	1042	3758
76	1067	3784
77	1093	3811
78	1119	3840
79	1147	3872
80	1174	3899
81	1201	3925
82	1227	3948
83	1253	3969
84	1279	3990
85	1305	4007
86	1333	4030
87	1361	4052
88	1387	4067
89	1414	4085
90	1439	4098
91	1464	4107
92	1489	4117
93	1514	4125
94	1540	4133
95	1564	4139
96	1588	4141
97	1611	4143
98	1634	4144
99	1658	4145
100	1680	4143
101	1702	4139
102	1725	4136
103	1747	4132
104	1770	4130
105	1791	4124
106	1805	4100
107	1818	4073
108	1830	4046
109	1842	4019
110	1854	3993
111	1869	3972
112	1882	3947
113	1901	3935
114	1925	3935
115	1946	3926
116	1958	3900
117	1969	3872
118	1980	3844
119	1991	3817
120	2002	3789
121	2013	3762
122	2023	3734
123	2034	3708
124	2046	3683
125	2057	3656
126	2068	3631
127	2079	3607
128	2090	3580
129	2100	3554
130	2111	3529
131	2121	3504
132	2132	3478
133	2142	3453
134	2153	3429
135	2163	3404
136	2174	3381
137	2185	3357
138	2199	3339
139	2211	3317
140	2221	3293
141	2231	3269
142	2247	3253
143	2266	3242
144	2284	3229
145	2297	3209
146	2314	3196
147	2327	3176
148	2339	3155
149	2348	3131
150	2366	3119
151	2377	3097
152	2387	3073
153	2397	3051
154	2406	3027
155	2416	3004
156	2425	2982
157	2435	2959
158	2444	2936
159	2454	2914
160	2463	2892
161	2472	2869
162	2481	2847
163	2491	2825
164	2502	2805
165	2511	2783
166	2520	2761
167	2529	2740
168	2538	2718
169	2548	2698
170	2557	2677
171	2567	2656
172	2576	2635
173	2585	2614
174	2594	2594
175	2604	2574
176	2613	2554
177	2622	2534
178	2632	2514
179	2641	2494
180	2650	2475
181	2660	2455
182	2669	2436
183	2679	2417
184	2688	2397
185	2697	2378
186	2707	2359
187	2716	2340
188	2729	2325
189	2741	2308
190	2751	2290
191	2761	2272
192	2771	2254
193	2780	2236
194	2790	2218
195	2800	2200
196	2809	2182
197	2819	2164
198	2829	2147
199	2839	2129
200	2850	2112
201	2861	2096
202	2871	2079
203	2881	2062
204	2891	2045
205	2901	2028
206	2916	2015
207	2927	1998
208	2937	1981
209	2947	1964
210	2957	1948
211	2967	1931
212	2977	1915
213	2990	1900
214	3009	1889
215	3024	1876
216	3035	1860
217	3044	1843
218	3055	1827
219	3064	1811
220	3074	1794
221	3084	1778
222	3093	1761
223	3103	1745
224	3113	1729
225	3122	1713
226	3132	1697
227	3142	1681
228	3152	1665
229	3162	1650
230	3172	1634
231	3183	1619
232	3192	1603
233	3202	1587
234	3212	1571
235	3222	1556
236	3232	1541
237	3242	1525
238	3251	1510
239	3261	1494
240	3271	1479
241	3286	1466
242	3298	1452
243	3318	1441
244	3332	1428
245	3355	1418
246	3368	1404
247	3379	1389
248	3389	1374
249	3399	1359
250	3409	1344
251	3420	1330
252	3431	1315
253	3441	1300
254	3454	1287
255	3466	1272
256	3477	1258
257	3487	1243
258	3497	1229
259	3508	1214
260	3518	1199
261	3528	1185
262	3539	1170
263	3551	1156
264	3561	1142
265	3571	1127
266	3582	1113
267	3593	1099
268	3603	1085
269	3614	1070
270	3624	1056
271	3635	1042
272	3646	1028
273	3656	1014
274	3670	1001
275	3681	987
276	3695	973
277	3708	960
278	3731	949
279	3743	935
280	3758	922
281	3768	908
282	3779	894
283	3789	880
284	3807	868
285	3829	856
286	3848	844
287	3859	830
288	3869	816
289	3879	802
290	3889	788
291	3899	774
292	3909	760
293	3919	746
294	3929	732
295	3940	718
296	3950	704
297	3960	691
298	3970	677
299	3981	663
300	3992	649
301	4001	636
302	4011	622
303	4021	608
304	4031	594
305	4040	581
306	4050	567
307	4059	553
308	4068	539
309	4078	526
310	4087	512
311	4097	499
312	4110	485
313	4121	472
314	4139	459
315	4149	446
316	4158	432
317	4167	419
318	4176	405
319	4185	392
320	4200	379
321	4209	366
322	4217	352
323	4226	339
324	4235	325
325	4244	312
326	4253	299
327	4261	285
328	4270	272
329	4279	259
330	4288	246
331	4298	233
332	4307	219
333	4315	206
334	4325	193
335	4334	180
336	4344	167
337	4353	154
338	4362	141
339	4371	128
340	4381	115
341	4394	102
342	4404	89
343	4413	76
344	4423	64
345	4432	51
346	4444	38
347	4453	25
348	4463	12
349	4472	0
