latitude,longitude
-34.5884975,-58.4721457
-34.5748425,-58.4872911
-34.5486005,-58.4397367
-34.6195536,-58.3686913
-34.5766676,-58.4097138
-34.5615563,-58.4439772
-34.6042763,-58.435872
-34.632921,-58.375821
-34.682572,-58.48151
-34.5984045,-58.5224356
-34.6986846,-58.4707309
-34.5479994,-58.4921543
-34.5491748,-58.4308451
-34.5489538,-58.4309316
-34.5455969,-58.431161
-34.5428121,-58.4353137
-34.54409,-58.4383231
-34.7251898,-58.5141784
-34.6841454,-58.489439
-34.5585364,-58.5246407
-34.6447962,-58.5425283
-34.6626879,-58.5167739
-34.6618098,-58.5191155
-34.5830277,-58.4076196
-34.6171147,-58.5412844
-34.6982988,-58.4708602
-34.5988839,-58.5233713
-34.6948663,-58.4762825
-34.6950014,-58.4761769
-34.5976861,-58.5230018
-34.6517756,-58.4159545
-34.7054269,-58.4999083
-34.7033223,-58.4982317
-34.7004018,-58.4938431
-34.7039799,-58.4959439
-34.7212884,-58.512092
-34.7090671,-58.529341
-34.7001746,-58.5419168
-34.6908411,-58.4988102
-34.5203615,-58.5143848
-34.5115673,-58.5210169
-34.5824205,-58.5157848
-34.6307372,-58.4007414
-34.5791188,-58.4186926
-34.5843279,-58.3896398
-34.6078498,-58.3726327
-34.6089546,-58.38845
-34.6124933,-58.3710665
-34.617475,-58.3695593
-34.6160116,-58.3568428
-34.5933671,-58.3748028
-34.6904269,-58.4653692
-34.5958973,-58.3950885
-34.589244,-58.5181442
-34.5370052,-58.518076
-34.623576,-58.3420398
-34.6347627,-58.5255257
-34.6856863,-58.5194019
-34.5811804,-58.4037871
-34.5805521,-58.4202922
-34.5858757,-58.3738333
-34.7320089,-58.5230913
-34.5844572,-58.3930376
-34.5056825,-58.5085268
-34.5491459,-58.5004564
-34.5492206,-58.5005955
-34.5387152,-58.5139843
-34.5240228,-58.5270982
-34.5701709,-58.412903
-34.5984274,-58.5223501
-34.5988611,-58.5234114
-34.5976259,-58.5230352
-34.6097091,-58.3916124
-34.6102837,-58.3906586
-34.5860339,-58.4546515
-34.5036963,-58.4975081
-34.5027358,-58.495381
-34.5036824,-58.4997069
-34.5155583,-58.4884179
-34.5011979,-58.4990459
-34.502086,-58.5007573
-34.5942091,-58.3764452
-34.5912823,-58.3734136
-34.5872583,-58.3677326
-34.585921,-58.3721464
-34.5978887,-58.5207992
-34.6062287,-58.4388298
-34.5939665,-58.393012
-34.5941477,-58.3901064
-34.5929981,-58.3887104
-34.596166,-58.3882867
-34.5957099,-58.3894812
-34.5956888,-58.3889496
-34.5957021,-58.3892853
-34.59572,-58.3897359
-34.5957529,-58.3916509
-34.5958996,-58.3920499
-34.5979802,-58.3929919
-34.5979022,-58.3918106
-34.5957427,-58.3912743
-34.5978003,-58.3930156
-34.5957687,-58.392903
-34.5959549,-58.3889942
-34.5954165,-58.3932037
-34.5957617,-58.3925491
-34.5974508,-58.3930564
-34.5976263,-58.3930388
-34.5957613,-58.3922158
-34.5956518,-58.3920238
-34.5959346,-58.3887917
-34.5959226,-58.3927878
-34.6198713,-58.3685866
-34.6273505,-58.3817621
-34.6422434,-58.53185
-34.6448996,-58.5333578
-34.6445163,-58.5343185
-34.597116,-58.39479
-34.5832419,-58.396548
-34.5833149,-58.396237
-34.5852509,-58.3888696
-34.630516,-58.5264177
-34.6263593,-58.3593204
-34.6072954,-58.4061083
-34.6076052,-58.4061252
-34.6090586,-58.4064674
-34.6347307,-58.5270949
-34.590676,-58.3724891
-34.5805274,-58.4204349
-34.5806488,-58.4201822
-34.5801145,-58.4200503
-34.5802071,-58.4201458
-34.5801745,-58.4201122
-34.5803463,-58.4202734
-34.5800422,-58.4199787
-34.5860977,-58.3763082
