id,latitude,longitude,name,ref,network,operator
82565681,-34.5884975,-58.4721457,Chorroarín y Ávalos,,,
82582305,-34.5748425,-58.4872911,Estación Urquiza,,,
177188680,-34.5486005,-58.4397367,Paseo de las Américas,,,
180484518,-34.6195536,-58.3686913,Humberto I,,,
181154481,-34.5766676,-58.4097138,Plaza Alemania,,,
196280578,-34.5615563,-58.4439772,Libertador y Virrey del Pino,,,
199475764,-34.6042763,-58.435872,Patricias Argentinas y Ángel Gallardo,,,
206114760,-34.632921,-58.375821,Montes de Oca y Uspallata,,,
232826947,-34.682572,-58.48151,Piedrabuena,,,
241976115,-34.5984045,-58.5224356,Lynch,,,
243784701,-34.6986846,-58.4707309,Avelino Díaz y General Paz,,,
247909592,-34.5479994,-58.4921543,Avenida General Paz,,,
247921769,-34.5491748,-58.4308451,Rodizzio,,,
247921770,-34.5489538,-58.4309316,Rodizzio,,,
247921778,-34.5455969,-58.431161,Tierra Santa,,,
247921785,-34.5428121,-58.4353137,Parque de la Memoria,,,
247921796,-34.54409,-58.4383231,Pabellón 1 / Parque Norte,,,
249802328,-34.7251898,-58.5141784,Puente 12,,,
249807463,-34.6841454,-58.489439,Villa Madero,,,
288598829,-34.5585364,-58.5246407,Sáenz Peña y M.T. de Alvear,,,
290559083,-34.6447962,-58.5425283,Díaz Vélez y Acha,,,
298889272,-34.6626879,-58.5167739,Alberdi,,,
298890275,-34.6618098,-58.5191155,Alberdi,,,
311308554,-34.5830277,-58.4076196,Parque Las Heras,,,
313238996,-34.6171147,-58.5412844,Alvear y Pascal,,,
313440058,-34.6982988,-58.4708602,General Paz y Roca,,,
313440759,-34.5988839,-58.5233713,Lynch,,,
313662098,-34.6948663,-58.4762825,Roosvelt y Pintos,,,
313662311,-34.6950014,-58.4761769,Pintos y Roosevelt,,,
314458507,-34.5976861,-58.5230018,Lynch,,,
316323952,-34.6517756,-58.4159545,Plaza Nueva Pompeya,,,
316491381,-34.7054269,-58.4999083,Mercado Central,,,
316524023,-34.7033223,-58.4982317,Escuela 139,,,
316539456,-34.7004018,-58.4938431,Unanué y San Martín,,,
316539549,-34.7039799,-58.4959439,Convención y Chilavert,,,
